,food_id,food_name,food_group,food_subgroup,nutri_score,nutri_score_category,hasQuality
56,85,Soy bean,Soy,Soy,5,C,"['high_potassium', 'high_iron', 'high_phosphorus', 'high_vitaminEGamma', 'high_vitaminEDelta', 'high_vitaminK1', 'high_vitaminB1', 'high_vitaminB2', 'high_vitaminB3', 'high_vitaminB5', 'high_vitaminB8', 'high_vitaminB11']"
57,86,Sunflower,Herbs and Spices,Oilseed crops,15,D,"['high_iron', 'high_phosphorus', 'high_vitaminEAlpha', 'high_vitaminEGamma', 'high_vitaminB1', 'high_vitaminB3', 'high_vitaminB5', 'high_vitaminB11']"
58,87,Sea-buckthornberry,Fruits,Berries,0,B,[]
59,88,Barley,Cereals and cereal products,Cereals,6,C,"['high_iron', 'high_phosphorus', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB8']"
60,91,Swamp cabbage,Vegetables,Leaf vegetables,-2,A,['high_vitaminB5']
61,92,Sweet potato,Vegetables,Tubers,0,B,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB8']"
62,93,Black walnut,Nuts,Nuts,7,C,"['high_phosphorus', 'high_vitaminEGamma', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB8']"
63,94,Common walnut,Nuts,Nuts,9,C,"['high_phosphorus', 'high_vitaminEGamma', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB11']"
64,95,Lettuce,Vegetables,Leaf vegetables,-1,A,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB8', 'high_vitaminB11']"
65,98,Lentils,Pulses,Lentils,3,C,"['high_potassium', 'high_iron', 'high_phosphorus', 'high_vitaminEGamma', 'high_vitaminB3', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB8']"
66,99,Garden cress,Vegetables,Leaf vegetables,-2,A,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB8', 'high_vitaminB11']"
67,100,Lovage,Herbs and Spices,Herbs,-5,A,[]
68,101,Flaxseed,Herbs and Spices,Oilseed crops,10,C,"['high_iron', 'high_phosphorus', 'high_vitaminEAlpha', 'high_vitaminEGamma', 'high_vitaminB1', 'high_vitaminB3', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB11']"
69,105,Apple,Fruits,Pomes,11,D,"['high_vitaminB5', 'high_vitaminB8']"
70,106,Mango,Fruits,Tropical fruits,1,B,"['high_vitaminB5', 'high_vitaminB11']"
71,108,Lemon balm,Herbs and Spices,Herbs,-5,A,[]
72,112,Spearmint,Herbs and Spices,Herbs,-7,A,"['high_iron', 'high_vitaminB5', 'high_vitaminB11']"
73,113,Peppermint,Herbs and Spices,Herbs,-6,A,"['high_calcium', 'high_iron', 'high_vitaminB5', 'high_vitaminB11']"
74,115,Bitter gourd,Gourds,Gourds,-4,A,"['high_potassium', 'high_vitaminK1', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB11']"
75,118,Nutmeg,Herbs and Spices,Spices,9,C,"['high_phosphorus', 'high_vitaminB11']"
76,119,Sweet basil,Herbs and Spices,Herbs,-2,A,"['high_potassium', 'high_calcium', 'high_iron', 'high_phosphorus', 'high_vitaminEAlpha', 'high_vitaminK1', 'high_vitaminB2', 'high_vitaminB3', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB11']"
77,120,Evening primrose,Herbs and Spices,Oilseed crops,-5,A,"['high_potassium', 'high_calcium', 'high_iron', 'high_phosphorus']"
78,121,Olive,Vegetables,Fruit vegetables,16,D,"['high_vitaminK1', 'high_vitaminB5']"
79,122,Sweet marjoram,Herbs and Spices,Herbs,4,C,"['high_potassium', 'high_calcium', 'high_iron', 'high_phosphorus', 'high_vitaminK1', 'high_vitaminB6', 'high_vitaminB11']"
80,124,Common oregano,Herbs and Spices,Herbs,2,B,"['high_potassium', 'high_calcium', 'high_iron', 'high_vitaminEAlpha', 'high_vitaminEGamma', 'high_vitaminK1', 'high_vitaminB2', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB11']"
81,125,Rice,Cereals and cereal products,Cereals,5,C,"['high_potassium', 'high_iron', 'high_phosphorus', 'high_vitaminK1', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB8']"
82,128,Passion fruit,Fruits,Tropical fruits,-5,A,[]
83,129,Parsnip,Vegetables,Root vegetables,-4,A,"['high_potassium', 'high_vitaminB5', 'high_vitaminB8', 'high_vitaminB11']"
84,130,Avocado,Vegetables,Fruit vegetables,6,C,"['high_vitaminB5', 'high_vitaminB8', 'high_vitaminB11']"
85,131,Parsley,Herbs and Spices,Herbs,-5,A,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB8', 'high_vitaminB11']"
86,132,Scarlet bean,Pulses,Beans,-5,A,"['high_potassium', 'high_phosphorus']"
87,133,Lima bean,Pulses,Beans,-5,A,['high_vitaminB5']
88,134,Common bean,Pulses,Beans,-2,A,"['high_vitaminK1', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB8', 'high_vitaminB11']"
89,135,Date,Fruits,Other fruits,8,C,"['high_potassium', 'high_vitaminB5']"
90,137,Anise,Herbs and Spices,Herbs,11,D,"['high_potassium', 'high_calcium', 'high_iron', 'high_phosphorus', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB6']"
91,139,Pepper (Spice),Herbs and Spices,Spices,-1,A,"['high_potassium', 'high_calcium', 'high_iron', 'high_vitaminEGamma', 'high_vitaminK1', 'high_vitaminB5']"
92,140,Pistachio,Nuts,Nuts,8,C,"['high_potassium', 'high_phosphorus', 'high_vitaminEGamma', 'high_vitaminB1', 'high_vitaminB3', 'high_vitaminB5', 'high_vitaminB6']"
93,141,Common pea,Pulses,Peas,-6,A,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB8']"
94,142,Purslane,Herbs and Spices,Herbs,0,B,['high_vitaminB5']
95,144,Apricot,Fruits,Drupes,1,B,"['high_vitaminB5', 'high_vitaminB8']"
96,146,Sour cherry,Fruits,Drupes,1,B,['high_vitaminB5']
97,147,European plum,Fruits,Drupes,0,B,['high_vitaminB5']
98,148,Almond,Nuts,Nuts,8,C,"['high_potassium', 'high_calcium', 'high_iron', 'high_phosphorus', 'high_vitaminEAlpha', 'high_vitaminB2', 'high_vitaminB3', 'high_vitaminB5', 'high_vitaminB8', 'high_vitaminB11']"
99,149,Peach,Fruits,Drupes,2,B,"['high_vitaminB5', 'high_vitaminB8']"
100,150,Guava,Fruits,Tropical fruits,-5,A,['high_vitaminB5']
101,151,Pomegranate,Fruits,Tropical fruits,3,C,['high_vitaminB5']
102,152,Pear,Fruits,Pomes,0,B,"['high_vitaminB5', 'high_vitaminB8']"
103,153,Radish,Vegetables,Root vegetables,-1,A,['high_vitaminB5']
104,154,Garden rhubarb,Vegetables,Stalk vegetables,-4,A,"['high_vitaminK1', 'high_vitaminB5']"
105,155,Blackcurrant,Fruits,Berries,11,D,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB8']"
106,156,Redcurrant,Fruits,Berries,9,C,"['high_vitaminB5', 'high_vitaminB8']"
107,157,Gooseberry,Fruits,Berries,-3,A,"['high_vitaminB5', 'high_vitaminB8']"
108,158,Watercress,Herbs and Spices,Herbs,-2,A,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB8']"
109,159,Rosemary,Herbs and Spices,Herbs,10,C,"['high_potassium', 'high_calcium', 'high_iron', 'high_vitaminB1', 'high_vitaminB2', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB11']"
110,162,Red raspberry,Fruits,Berries,2,B,['high_vitaminB5']
111,164,Sorrel,Herbs and Spices,Herbs,-4,A,['high_vitaminB5']
112,165,Common sage,Herbs and Spices,Herbs,7,C,"['high_potassium', 'high_calcium', 'high_iron', 'high_vitaminEAlpha', 'high_vitaminK1', 'high_vitaminB1', 'high_vitaminB3', 'high_vitaminB6', 'high_vitaminB11']"
113,166,Black elderberry,Fruits,Berries,-1,A,[]
114,167,Summer savory,Herbs and Spices,Herbs,4,C,"['high_potassium', 'high_calcium', 'high_iron', 'high_vitaminB1', 'high_vitaminB6']"
115,169,Rye,Cereals and cereal products,Cereals,6,C,"['high_phosphorus', 'high_vitaminB5', 'high_vitaminB8', 'high_vitaminB11']"
116,170,Sesame,Herbs and Spices,Oilseed crops,10,C,"['high_iron', 'high_phosphorus', 'high_vitaminB1', 'high_vitaminB3', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB11']"
117,173,Garden tomato (var.),Vegetables,Fruit vegetables,-1,A,"['high_potassium', 'high_iron', 'high_phosphorus', 'high_vitaminEAlpha', 'high_vitaminB2', 'high_vitaminB3', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB11']"
118,174,Eggplant,Vegetables,Fruit vegetables,-2,A,['high_vitaminB5']
119,175,Potato,Vegetables,Tubers,21,E,"['high_potassium', 'high_vitaminB5', 'high_vitaminB8']"
120,178,Spinach,Vegetables,Leaf vegetables,-3,A,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB8', 'high_vitaminB11']"
121,179,Cloves,Herbs and Spices,Spices,15,D,"['high_potassium', 'high_calcium', 'high_iron', 'high_vitaminEAlpha', 'high_vitaminK1', 'high_vitaminB5']"
122,180,Tamarind,Fruits,Tropical fruits,7,C,"['high_potassium', 'high_vitaminB1', 'high_vitaminB5']"
123,181,Dandelion,Herbs and Spices,Herbs,-2,A,"['high_vitaminK1', 'high_vitaminB5']"
124,182,Cocoa bean,Cocoa and cocoa products,Cocoa,-1,A,"['high_phosphorus', 'high_vitaminB5']"
125,183,Common thyme,Herbs and Spices,Herbs,5,C,"['high_potassium', 'high_calcium', 'high_iron', 'high_vitaminEAlpha', 'high_vitaminK1', 'high_vitaminB1', 'high_vitaminB3', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB11']"
126,184,Linden,Herbs and Spices,Herbs,-4,A,[]
127,186,Fenugreek,Herbs and Spices,Herbs,7,C,"['high_potassium', 'high_iron', 'high_phosphorus', 'high_vitaminB6']"
128,187,Common wheat,Cereals and cereal products,Cereals,5,C,"['high_phosphorus', 'high_vitaminEGamma', 'high_vitaminB1', 'high_vitaminB3', 'high_vitaminB5', 'high_vitaminB8']"
129,191,Highbush blueberry,Fruits,Berries,-1,A,"['high_vitaminEAlpha', 'high_vitaminK1', 'high_vitaminB5']"
130,192,American cranberry,Fruits,Berries,-3,A,['high_vitaminB5']
131,193,Bilberry,Fruits,Berries,-1,A,['high_vitaminB5']
132,197,Broad bean,Pulses,Beans,-6,A,"['high_vitaminB5', 'high_vitaminB11']"
133,198,Adzuki bean,Pulses,Beans,-6,A,"['high_potassium', 'high_iron', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB11']"
134,199,Gram bean,Pulses,Beans,4,C,"['high_potassium', 'high_iron', 'high_phosphorus', 'high_vitaminB5', 'high_vitaminB11']"
135,200,Mung bean,Pulses,Beans,-2,A,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB11']"
136,204,Common grape,Fruits,Berries,6,C,"['high_potassium', 'high_vitaminB5']"
137,205,Corn,Cereals and cereal products,Cereals,9,C,"['high_vitaminB5', 'high_vitaminB8']"
138,206,Ginger,Herbs and Spices,Spices,1,B,['high_vitaminB5']
139,264,Red beetroot,Vegetables,Root vegetables,2,B,['high_vitaminB5']
140,284,Winter squash,Gourds,Gourds,0,B,['high_vitaminB5']
141,288,Allspice,Herbs and Spices,Spices,13,D,"['high_potassium', 'high_calcium', 'high_iron']"
142,289,Amaranth,Herbs and Spices,Herbs,-6,A,"['high_potassium', 'high_vitaminK1', 'high_vitaminB5', 'high_vitaminB11']"
143,291,Arrowroot,Vegetables,Tubers,-1,A,"['high_vitaminB5', 'high_vitaminB11']"
144,312,Breadfruit,Fruits,Tropical fruits,0,B,['high_vitaminB5']
145,313,Breadnut tree seed,Herbs and Spices,Other seeds,1,B,"['high_potassium', 'high_vitaminB5', 'high_vitaminB11']"
146,318,Giant butterbur,Vegetables,Other vegetables,0,B,"['high_potassium', 'high_vitaminB5']"
147,320,Butternut,Nuts,Nuts,9,C,"['high_phosphorus', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB11']"
148,322,Calabash,Gourds,Gourds,0,B,['high_vitaminB5']
149,326,Carob,Vegetables,Other vegetables,5,C,"['high_potassium', 'high_calcium', 'high_vitaminB2', 'high_vitaminB5']"
150,328,Cassava,Vegetables,Tubers,7,C,['high_vitaminB5']
151,330,Chayote,Gourds,Gourds,-1,A,"['high_vitaminB5', 'high_vitaminB11']"
152,331,Cherimoya,Fruits,Tropical fruits,-1,A,['high_vitaminB5']
153,332,Chervil,Herbs and Spices,Spices,-3,A,"['high_vitaminB1', 'high_vitaminB5', 'high_vitaminB8', 'high_vitaminB11']"
154,337,Chinese water chestnut,Vegetables,Other vegetables,2,B,['high_vitaminB5']
155,338,Garland chrysanthemum,Vegetables,Leaf vegetables,-4,A,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB11']"
156,341,Coconut,Fruits,Tropical fruits,10,C,"['high_potassium', 'high_vitaminB5', 'high_vitaminB8']"
157,345,Corn salad,Vegetables,Leaf vegetables,-1,A,['high_vitaminB5']
158,346,Cottonseed,Herbs and Spices,Oilseed crops,20,E,"['high_potassium', 'high_calcium', 'high_iron', 'high_phosphorus', 'high_vitaminEAlpha', 'high_vitaminK1', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB8', 'high_vitaminB11']"
159,360,Durian,Fruits,Tropical fruits,7,C,"['high_vitaminB1', 'high_vitaminB5']"
160,368,European chestnut,Nuts,Nuts,6,C,"['high_vitaminB5', 'high_vitaminB11']"
161,372,Ginkgo nuts,Herbs and Spices,Other seeds,2,B,"['high_vitaminB3', 'high_vitaminB5']"
162,384,Horseradish tree,Vegetables,Other vegetables,-5,A,"['high_vitaminK1', 'high_vitaminB2', 'high_vitaminB5', 'high_vitaminB6']"
163,386,Hyacinth bean,Pulses,Beans,-3,A,"['high_vitaminB5', 'high_vitaminB11']"
164,387,Irish moss,Aquatic foods,Seaweed,1,B,"['high_iron', 'high_vitaminB2', 'high_vitaminB5', 'high_vitaminB11']"
165,389,Jackfruit,Fruits,Tropical fruits,3,C,['high_vitaminB5']
166,391,Java plum,Fruits,Tropical fruits,0,B,[]
167,392,Jerusalem artichoke,Vegetables,Tubers,-2,A,"['high_vitaminB5', 'high_vitaminB8']"
168,394,Jute,Vegetables,Leaf vegetables,-4,A,"['high_iron', 'high_vitaminK1', 'high_vitaminB2', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB11']"
169,399,Lambsquarters,Vegetables,Leaf vegetables,-6,A,"['high_calcium', 'high_vitaminK1', 'high_vitaminB2', 'high_vitaminB5']"
170,401,Wild leek,Vegetables,Onion-family vegetables,1,B,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB11']"
171,407,Sacred lotus,Vegetables,Other vegetables,-4,A,['high_vitaminB5']
172,408,White lupine,Pulses,Other pulses,14,D,"['high_potassium', 'high_iron', 'high_phosphorus', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB11']"
173,409,Malabar spinach,Vegetables,Leaf vegetables,-3,A,"['high_vitaminB5', 'high_vitaminB11']"
174,410,Mammee apple,Fruits,Tropical fruits,-1,A,['high_vitaminB5']
175,411,Purple mangosteen,Fruits,Tropical fruits,2,B,['high_vitaminB5']
176,416,Moth bean,Pulses,Beans,-5,A,"['high_potassium', 'high_iron', 'high_phosphorus', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB11']"
177,417,Mountain yam,Vegetables,Tubers,0,B,['high_vitaminB5']
178,420,White mustard,Herbs and Spices,Spices,9,C,"['high_potassium', 'high_calcium', 'high_iron', 'high_phosphorus', 'high_vitaminEAlpha', 'high_vitaminEGamma', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB11']"
179,422,New Zealand spinach,Vegetables,Leaf vegetables,0,B,"['high_vitaminK1', 'high_vitaminB5']"
180,436,Pepper (C. frutescens),Vegetables,Fruit vegetables,-5,A,"['high_potassium', 'high_iron', 'high_phosphorus', 'high_vitaminB2', 'high_vitaminB3', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB11']"
181,437,Common persimmon,Fruits,Tropical fruits,0,B,[]
182,441,Colorado pinyon,Nuts,Nuts,8,C,"['high_potassium', 'high_vitaminB1', 'high_vitaminB5']"
183,442,Pitanga,Fruits,Tropical fruits,0,B,[]
184,445,American pokeweed,Vegetables,Shoot vegetables,-2,A,"['high_vitaminK1', 'high_vitaminB5']"
185,447,Opium poppy,Herbs and Spices,Spices,7,C,"['high_potassium', 'high_calcium', 'high_iron', 'high_phosphorus', 'high_vitaminEGamma', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB11']"
186,448,Prairie turnip,Vegetables,Root vegetables,1,B,['high_vitaminB6']
187,455,Malabar plum,Fruits,Tropical fruits,1,B,[]
188,457,Roselle,Herbs and Spices,Herbs,0,B,"['high_vitaminEAlpha', 'high_vitaminEGamma']"
189,467,Common salsify,Vegetables,Root vegetables,-1,A,['high_vitaminB5']
190,468,Sapodilla,Fruits,Tropical fruits,0,B,['high_vitaminB5']
191,488,Soursop,Fruits,Tropical fruits,0,B,['high_vitaminB5']
192,493,Strawberry guava,Fruits,Berries,-3,A,[]
193,496,Sugar apple,Fruits,Tropical fruits,0,B,['high_vitaminB5']
194,499,Taro,Vegetables,Root vegetables,6,C,['high_vitaminB5']
195,502,Mexican groundcherry,Vegetables,Fruit vegetables,0,B,['high_vitaminB5']
196,503,Towel gourd,Gourds,Gourds,-1,A,['high_vitaminB5']
197,510,Wax gourd,Gourds,Gourds,-2,A,['high_vitaminB5']
198,518,Winged bean,Pulses,Beans,-4,A,"['high_vitaminB5', 'high_vitaminB11']"
199,519,Yam,Vegetables,Tubers,1,B,"['high_potassium', 'high_vitaminB5']"
200,520,Jicama,Vegetables,Root vegetables,-5,A,['high_vitaminB5']
201,521,Yautia,Vegetables,Leaf vegetables,4,C,['high_vitaminB5']
202,536,Macadamia nut,Nuts,Nuts,10,C,"['high_vitaminB1', 'high_vitaminB5']"
203,553,Yardlong bean,Pulses,Peas,-6,A,"['high_vitaminB5', 'high_vitaminB11']"
204,558,Feijoa,Fruits,Tropical fruits,-4,A,['high_vitaminB5']
205,802,Ucuhuba,Herbs and Spices,Oilseed crops,0,B,[]
206,813,Nance,Fruits,Tropical fruits,0,B,['high_vitaminB5']
207,880,Soft-necked garlic,Herbs and Spices,Herbs,-5,A,"['high_potassium', 'high_calcium', 'high_iron', 'high_vitaminB8']"
208,881,Cabbage,Vegetables,Cabbages,-3,A,"['high_potassium', 'high_calcium', 'high_iron', 'high_phosphorus', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB11']"
209,2,Savoy cabbage,Vegetables,Cabbages,-4,A,"['high_vitaminB5', 'high_vitaminB11']"
211,5,Allium,Vegetables,Onion-family vegetables,0,B,"['high_vitaminB1', 'high_vitaminB5', 'high_vitaminB8']"
213,7,Leek,Vegetables,Onion-family vegetables,-3,A,"['high_vitaminB5', 'high_vitaminB8', 'high_vitaminB11']"
214,8,Garlic,Herbs and Spices,Herbs,4,C,"['high_potassium', 'high_phosphorus', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB11']"
230,25,Common beet,Vegetables,Leaf vegetables,-2,A,"['high_vitaminB5', 'high_vitaminB11']"
233,28,Swede,Vegetables,Root vegetables,-3,A,"['high_vitaminB5', 'high_vitaminB8']"
234,30,Common cabbage,Vegetables,Cabbages,4,C,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB8']"
235,31,Cauliflower,Vegetables,Cabbages,-3,A,"['high_vitaminB5', 'high_vitaminB8', 'high_vitaminB11']"
238,34,Broccoli,Vegetables,Cabbages,-4,A,"['high_vitaminC', 'high_vitaminK1', 'high_vitaminB5', 'high_vitaminB8', 'high_vitaminB11']"
239,35,Chinese cabbage,Vegetables,Cabbages,-1,A,"['high_vitaminEGamma', 'high_vitaminK1', 'high_vitaminB5', 'high_vitaminB11']"
